track_name,genre,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Fragil (feat. Grupo Frontera),"Latin pop, Reggaeton","Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188.933.502,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3
Blank Space,Pop,Taylor Swift,1,2014,1,1,11434,53,1.355.959.075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6
Style,"Pop, Pop-Rock, synth-Pop",Taylor Swift,1,2014,1,1,7830,42,786.181.836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4
TQM,"Latin pop, corridos",Fuerza Regida,1,2023,5,19,584,28,176.553.476,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6
El Azul,"Latin pop trap, Reggaeton, corridos","Junior H, Peso Pluma",2,2023,2,10,692,25,354.495.408,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6
Sunflower - Spider-Man: Into the Spider-Verse,"Pop, Hip hop, Rap","Post Malone, Swae Lee",2,2018,10,9,24094,78,2.808.096.550,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5
I'm Good (Blue),"Pop, dance, EDM","Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1.109.433.169,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4
See You Again,"Hip hop, Rap, R&B","Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1.047.101.291,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10
Barbie World (with Aqua) [From Barbie The Album],"R&B, hip hop, Rap","Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65.156.199,82,145,65,16,1.133,144,,Major,77,75,58,52,0,23,25
Angels Like You,"Pop, Pop-Rock",Miley Cyrus,1,2020,11,27,3372,19,570.515.054,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3
I Ain't Worried,"Pop, Pop-Rock",OneRepublic,1,2022,5,13,8431,76,1.085.685.420,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5
Die For You,"R&B, Pop",The Weeknd,1,2016,11,24,2483,59,1.647.990.401,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7
Starboy,"R&B, electroPop","The Weeknd, Daft Punk",2,2016,9,21,29536,79,2.565.529.693,281,137,2.445,1,140,186,G,Major,68,49,59,16,0,13,28
Die For You - Remix,"R&B, Pop","Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518.745.108,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7
El Cielo,"Latin pop, Reggaeton","Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107.753.850,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5
Baby Don't Hurt Me,"Pop, dance, EDM","David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177.740.666,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3
AMARGURA,"Pop, Latin pop, Reggaeton",Karol G,1,2023,2,24,1133,39,153.372.011,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7
(It Goes Like) Nanana - Edit,"electronic, dance",Peggy Gou,1,2023,6,15,2259,59,57.876.440,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4
Another Love,"Pop, indie Pop",Tom Odell,1,2012,10,15,18371,83,1.813.673.666,250,122,3.394,19,,123,E,Minor,45,13,54,70,0,9,4
Blinding Lights,"R&B, Hip hop, Rap, electroPop",The Weeknd,1,2019,11,29,43899,69,3.703.895.074,672,199,3.421,20,,171,C#,Major,50,38,80,0,0,9,7
Moonlight,"R&B, soul",Kali Uchis,1,2023,2,24,2649,42,256.483.385,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5
La Bachata,Latin pop,Manuel Turizo,1,2022,5,26,6804,45,1.214.083.358,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4
