track_name,genre,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Un Finde | CROSSOVER 2,Reggaeton,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142.095.275,4,14,12,5,56,192,B,Major,50,85,52,11,0,28,6
Jimmy Cooks (feat. 21 Savage),"Hip hop, Rap","Drake, 21 Savage",2,2022,6,17,5871,27,618.885.532,81,121,58,1,34,163,,Major,54,40,67,0,0,9,17
Counting Stars,"Pop, Pop-Rock",OneRepublic,1,2013,1,1,29215,43,2.011.464.183,179,97,3.394,11,153,122,C#,Minor,66,48,71,6,0,12,4
Ghost,"Pop, R&B",Justin Bieber,1,2021,3,19,5866,24,1.167.330.737,107,38,95,0,,154,D,Major,61,41,74,21,0,40,6
Under The Influence,"R&B, Pop",Chris Brown,1,2019,10,4,3859,26,929.964.809,133,181,3,0,,117,A,Minor,73,31,69,6,0,11,4
PRC,"Latin pop, corridos","Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436.027.885,19,143,10,6,15,138,G,Minor,78,89,83,10,0,12,5
Gasolina,"Latin pop, Reggaeton",Daddy Yankee,1,2004,7,13,6457,18,657.723.613,98,95,453,0,454,96,,Major,86,74,80,33,0,8,6
One Dance,"Hip hop, Rap, dance","Drake, WizKid, Kyla",3,2016,4,4,43257,24,2.713.922.350,433,107,3.631,0,26,104,C#,Major,77,36,63,1,0,36,5
Enchanted,"country Pop, Pop-Rock",Taylor Swift,1,2010,1,1,4564,16,621.660.989,24,101,113,0,40,164,G#,Major,45,24,62,8,0,16,3
Save Your Tears,"R&B, Pop",The Weeknd,1,2020,3,20,12688,13,1.591.223.784,197,115,112,0,200,118,,Major,68,61,82,2,0,50,3
Sure Thing,"R&B, soul",Miguel,1,2010,5,25,13801,19,950.906.471,137,125,435,6,285,81,B,Minor,68,51,60,3,0,19,10
Every Breath You Take - Remastered 2003,soft Rock,The Police,1,1983,1,6,22439,19,1.593.270.737,211,74,929,0,129,117,C#,Major,82,73,45,54,0,7,3
The Night We Met,"indie Rock, folk",Lord Huron,1,2015,2,2,18515,35,1.410.088.830,70,82,939,1,162,174,D,Major,45,10,37,97,25,64,4
We Found Love,"Pop, Dance pop","Rihanna, Calvin Harris",2,2011,1,1,36843,21,1.235.005.533,321,91,4.607,1,58,128,C#,Major,73,60,77,3,0,11,4
When I Was Your Man,"Pop, R&B",Bruno Mars,1,2012,12,5,2420,11,1.661.187.319,0,0,806,0,0,145,,Major,60,43,27,94,0,14,4
Let Me Down Slowly,"Pop, soul",Alec Benjamin,1,2018,5,25,5897,19,1.374.581.173,0,0,885,0,0,150,C#,Minor,65,51,55,73,0,14,3
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Hip hop, Rap","ASAP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94.186.466,17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4
Do I Wanna Know?,indie Rock,Arctic Monkeys,1,2013,1,1,33783,26,1.788.326.445,133,92,2.733,1,26,85,F,Major,55,42,53,17,0,22,3
Demons,"Pop, Rock",Imagine Dragons,1,2012,1,1,26694,13,1.840.364.617,65,82,3.425,4,13,180,D#,Major,33,38,71,20,0,28,5
Umi no Manimani,"J-Pop, electroPop",YOASOBI,1,2023,4,12,356,16,143.573.775,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9
Reminder,"R&B, Pop",The Weeknd,1,2016,11,25,6518,17,684.675.814,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22
Shake It Off,"Pop, Dance pop",Taylor Swift,1,2014,1,1,21335,13,1.113.838.873,328,70,1.378,9,20,160,G,Major,65,95,80,5,0,41,16
Why'd You Only Call Me When You're High?,indie Rock,Arctic Monkeys,1,2013,1,1,23389,29,1.267.333.350,54,70,1.089,2,1,92,D,Major,70,81,63,4,0,8,4
SNAP,"Pop, R&B",Rosa Linn,1,2022,3,19,3202,18,726.307.468,148,80,226,24,0,170,,Major,56,53,64,11,0,45,6
Shape of You,"Pop, dance",Ed Sheeran,1,2017,1,6,32181,10,3.562.543.890,33,0,6.808,7,0,96,C#,Minor,83,93,65,58,0,9,8
Night Changes,"Pop, soft Rock, R&B",One Direction,1,2014,11,17,7124,18,1.131.090.940,60,20,2,0,,120,G#,Major,67,40,52,86,0,12,4
Fin de Semana,"Latin pop, Reggaeton","Oscar Maydon, Junior H",2,2023,1,13,592,14,307.370.144,11,84,6,1,30,98,,Major,70,37,54,6,0,9,8
Creep,"Rock, soul",Radiohead,1,1992,9,21,36724,7,1.271.293.243,146,72,6.807,5,80,92,G,Major,53,12,34,1,0,12,4
Car's Outside,"Pop, Pop-Rock",James Arthur,1,2019,10,18,794,10,265.882.712,38,25,61,0,263,150,A,Major,34,24,56,4,0,11,3
Apocalypse,indie Pop,Cigarettes After Sex,1,2017,3,21,13091,17,841.749.534,61,96,790,2,116,94,F,Major,37,17,47,2,46,11,3
Cheques,"Latin pop, Reggaeton",Shubh,1,2023,5,19,67,8,47.956.378,7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5
Pink + White,"R&B, soul",Frank Ocean,1,2016,8,20,21574,30,806.397.070,112,68,266,1,39,160,A,Major,54,54,55,67,0,42,11
Circles,"Pop, Hip hop, soft Rock",Post Malone,1,2019,8,30,19664,16,2.132.335.812,391,73,633,3,37,120,,Major,70,59,75,24,0,9,4
Just The Way You Are,"Pop, soft Rock, R&B",Bruno Mars,1,2010,1,1,21106,13,1.641.426.668,82,0,2.946,0,0,109,F,Major,63,46,85,1,0,9,5
Take Me To Church,"indie Rock, soul",Hozier,1,2013,9,13,23804,31,2.135.158.446,187,99,4.623,1,0,129,E,Minor,57,41,66,63,0,12,5
Bebe Dame,"Latin pop, corridos","Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367.316.268,27,129,21,7,111,157,G,Major,54,75,60,30,0,7,5
You Belong With Me (Taylor's Version),"Pop, country Pop",Taylor Swift,1,2021,4,9,2619,12,350.381.515,47,90,1,0,7,130,F#,Major,63,49,73,5,0,9,3
Titi Me Pregunto,"Latin pop, Reggaeton",Bad Bunny,1,2022,5,6,9037,42,1.264.310.836,124,133,139,14,166,107,F,Minor,65,19,72,10,0,13,25
Better Than Revenge (Taylor's Version),"Pop, Pop-Rock",Taylor Swift,1,2023,7,7,86,11,30.343.206,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8
Shut up My Moms Calling,"Hip hop, Rap",Hotel Ugly,1,2020,2,10,1788,14,405.136.812,1,50,19,0,19,139,A,Minor,48,37,41,32,0,10,10
Have You Ever Seen The Rain?,Rock,Creedence Clearwater Revival,1,1968,7,1,15890,14,1.145.727.611,71,37,653,0,167,116,,Major,74,76,70,7,0,13,3
Es un Secreto,Reggaeton,Plan B,1,2010,7,20,492,36,540.654.286,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4
POLARIS - Remix,"Latin pop, Reggaeton","Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57.312.735,20,46,21,8,99,170,G#,Minor,62,55,80,15,0,37,7
Ditto,"K-Pop, Dance pop, Pop Rock, Pop",NewJeans,1,2022,12,19,1154,22,397.582.059,28,125,11,1,51,134,F#,Minor,81,18,64,3,0,10,11
Take On Me,Pop,a-ha,1,1984,10,19,44927,17,1.479.115.056,34,0,5.108,6,0,84,F#,Minor,57,86,90,2,0,9,5
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Hip hop, Rap","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86.773.632,13,46,20,1,10,146,B,Minor,61,20,48,21,0,12,6
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Hip hop, Rap","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133.753.727,22,18,15,1,0,74,A#,Minor,53,24,67,11,0,10,28
Acrostico,"Latin pop, Pop, Reggaeton",Shakira,1,2023,5,11,955,29,123.124.076,37,50,79,11,31,144,B,Major,75,35,48,84,0,10,12
AMG,"Latin pop, corridos","Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463.564.958,12,117,9,5,3,136,B,Minor,77,79,73,15,0,27,10
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","bollywood, indian Pop","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64.533.040,6,71,1,0,31,100,E,Major,56,53,55,53,0,12,4
S-Class,"K-Pop, Hip hop",Stray Kids,1,2023,6,2,290,19,65.496.046,9,101,5,0,73,105,F,Minor,89,67,78,9,0,7,33
Hits Different,"Pop, Pop-Rock",Taylor Swift,1,2023,5,26,547,0,68.616.963,15,15,6,0,0,106,F,Major,67,24,78,15,0,30,4
Chanel,"Latin pop, Reggaeton","Becky G, Peso Pluma",2,2023,3,30,681,10,161.460.990,15,92,21,2,26,132,D,Major,85,53,68,40,0,9,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Hip hop, Rap","Metro Boomin, Coi Leray",2,2023,6,2,332,5,70.106.975,18,41,5,0,19,120,A,Major,78,5,30,21,0,13,5
Area Codes,"Hip hop, Rap, R&B","Kaliii, Kaliii",2,2023,3,17,1197,13,113.509.496,44,34,25,1,171,155,C#,Major,82,51,39,2,0,9,49
Abcdario,Pop,,2,2023,5,13,262,5,89.933.133,8,60,4,1,109,129,G#,Major,70,42,43,78,0,11,3
Obsessed,indian Pop,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71.007.139,10,79,2,0,42,135,F,Minor,80,85,74,62,0,8,9
Pisman Degilim,"Rap, Pop",Semicenk & Dosu Swag,2,2023,6,2,185,3,43.522.589,5,6,4,1,33,98,A#,Minor,73,45,62,28,0,13,13
FLOWER,"K-Pop, ballad",JISOO,1,2023,3,31,839,18,232.896.922,20,110,20,0,69,124,A,Minor,84,64,39,3,0,11,4
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Hip hop, Rap","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37.126.685,5,17,5,0,0,135,A,Minor,77,28,55,18,0,22,15
Eyes Closed,"Pop, folk-Pop",Ed Sheeran,1,2023,3,23,2915,30,195.576.623,116,69,107,3,675,107,D,Major,78,39,53,30,0,11,6
Escapism.,"Pop, R&B","RAYE, 070 Shake",2,2022,10,12,5129,25,532.336.353,116,84,114,18,348,96,D,Major,54,25,74,14,0,9,11
La Jumpa,"Latin pop, Reggaeton","Arcangel, Bad Bunny",2,2022,11,30,3794,34,538.115.192,47,77,53,10,8,123,G#,Major,71,58,70,30,0,32,19
Karma (feat. Ice Spice),"Pop, Pop-Rock","Taylor Swift, Ice Spice",2,2023,5,26,588,0,46.142.772,23,21,31,0,0,90,G#,Major,62,7,62,6,0,58,6
Superhero (Heroes & Villains) [with Future & Chris Brown],"Hip hop, Rap","Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401.036.314,41,69,38,0,36,117,F,Minor,72,45,59,14,0,20,21
Las Morras,"Latin pop, Reggaeton","BLESSD, Peso Pluma",2,2023,4,4,291,8,127.026.613,8,78,4,1,1,133,A,Minor,78,90,84,31,0,7,4
CHORRITO PA LAS ANIMAS,"Latin pop, Reggaeton",Feid,1,2022,12,2,2321,36,345.031.710,29,65,34,5,3,96,G#,Minor,74,61,83,11,0,35,6
Ch y la Pizza,"Latin pop, corridos","Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288.101.651,10,72,8,3,14,149,G#,Major,66,85,60,40,0,14,13
Snow On The Beach (feat. More Lana Del Rey),"Pop, indie Pop","Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60.350.538,1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3
Players,"Hip hop, Rap",Coi Leray,1,2022,11,30,4096,6,335.074.782,118,48,143,0,240,105,F#,Major,95,62,52,3,0,5,16
Bite Me,"K-Pop, Dance pop",ENHYPEN,1,2023,5,22,349,69,76.767.396,8,96,5,0,56,105,C#,Major,80,69,78,28,0,11,14
Stand By Me (feat. Morgan Wallen),"Hip hop, Rap","Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46.065.667,23,82,6,0,113,134,B,Major,76,61,58,6,0,16,3
Normal,"Latin pop, Reggaeton",Feid,1,2022,7,8,2461,36,459.276.435,47,66,45,5,6,170,E,Minor,71,59,56,4,0,27,12
Hummingbird (Metro Boomin & James Blake),"electronic, Hip hop","James Blake, Metro Boomin",2,2023,6,2,277,1,39.666.245,1,20,5,0,1,81,F#,Major,59,26,60,46,1,25,13
Seu Brilho Sumiu - Ao Vivo,"Latin pop, sertanejo","Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138.517.666,7,29,51,1,29,154,F#,Major,63,75,92,31,0,91,5
Bad Habit,"R&B, soul",Steve Lacy,1,2022,6,29,8186,12,822.633.917,155,72,131,16,29,169,C#,Major,69,69,51,63,0,38,4
CUFF IT,"R&B, hip hop",Beyonce,1,2022,7,29,7842,10,595.900.742,215,88,330,26,23,115,G,Major,78,64,69,4,0,7,14
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Pop, electronic","Halsey, Suga",2,2023,6,5,215,6,51.985.779,6,14,8,2,4,84,A,Minor,43,14,74,1,0,19,8
69,"Latin pop, Reggaeton","Nicky Jam, Feid",2,2023,5,18,1134,22,57.945.987,39,14,48,2,3,93,G#,Major,79,58,62,11,0,11,23
Nina Bonita,"Latin pop, Reggaeton","Sean Paul, Feid",2,2023,4,21,1305,34,115.010.040,29,26,43,5,44,91,G,Major,82,47,62,10,0,10,15
Search & Rescue,"Hip hop, Rap",Drake,1,2023,4,7,2066,6,175.097.833,58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"R&B, hip hop",Beyonce,2,2023,5,19,896,0,57.089.066,34,2,33,0,1,126,C#,Major,78,20,70,1,0,16,4
Lavender Haze,"Pop, indie Pop",Taylor Swift,1,2022,10,21,3763,8,488.386.797,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","Hip hop, Rap","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32.761.689,3,10,3,0,0,101,F,Major,92,59,51,41,51,26,8
Efecto,"Latin pop, Reggaeton",Bad Bunny,1,2022,5,6,4004,33,1.047.480.053,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5
Erro Gostoso - Ao Vivo,"Latin pop, sertanejo",Simone Mendes,1,2023,1,27,984,5,153.454.328,8,57,76,2,49,154,F#,Major,59,63,89,18,0,80,9
Cupido,"Latin pop, Pop",Tini,1,2023,2,14,1240,24,217.672.943,51,29,63,4,54,120,A,Major,91,63,58,52,0,31,22
Just Wanna Rock,"Hip hop, Rap",Lil Uzi Vert,1,2022,10,17,3995,13,457.184.829,72,27,47,0,0,150,B,Major,49,4,55,7,0,6,3
Unstoppable,"Pop, Dance pop",Sia,1,2016,1,21,7681,13,939.844.851,119,66,1.145,2,,174,A,Major,47,27,78,11,0,10,8
Until I Found You,"indie Pop, folk",Stephen Sanchez,1,2021,9,1,4427,4,726.434.358,69,100,154,20,438,202,A#,Major,34,25,51,69,0,18,4
Rich Flex,"Hip hop, Rap","Drake, 21 Savage",2,2022,11,4,4657,18,573.633.020,84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24
Easy On Me,"Pop, soul",Adele,1,2021,10,14,10195,20,1.406.111.294,258,87,657,22,9,142,F,Major,60,13,37,58,0,13,3
Cartao Black,Latin pop,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71.573.339,7,2,30,1,11,108,A,Minor,84,55,47,26,0,20,64
Danger (Spider) (Offset & JID),"Hip hop, Rap","Offset, JID",2,2023,6,2,214,0,24.975.653,3,3,6,0,0,143,B,Major,83,25,69,4,0,23,12
Oi Balde - Ao Vivo,sertanejo,,1,2023,2,14,845,2,145.458.418,12,57,47,1,33,108,D,Major,67,55,67,60,0,80,5
The Real Slim Shady,"Hip hop, Rap",Eminem,1,2000,1,1,20763,27,1.424.589.568,81,53,3.271,1,17,104,F,Minor,95,78,66,3,0,4,6
MERCHO,"Latin pop, Rap","Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231.332.117,41,22,56,4,84,93,F#,Minor,84,96,79,43,0,18,11
The Color Violet,"Hip hop, R&B",Tory Lanez,1,2021,12,10,2585,32,415.932.686,3,79,21,1,54,105,F#,Minor,65,46,53,16,0,9,5
Glimpse of Us,"Pop, R&B",Joji,1,2022,6,10,6330,6,988.515.741,109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5
Mejor Que Yo,"Latin pop, Reggaeton","Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50.847.624,9,13,11,0,1,178,C#,Minor,62,56,66,18,0,12,5
Curtains,"Pop, folk",Ed Sheeran,1,2023,5,5,715,0,39.893.489,37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5
UNFORGIVEN (feat. Nile Rodgers),"K-Pop, Dance pop","Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92.035.115,14,110,9,0,49,104,E,Minor,80,38,88,11,0,11,5
Haegeum,"Hip hop, Rap",Agust D,1,2023,4,21,244,12,118.810.253,6,84,10,2,9,85,G,Major,70,83,84,31,0,47,30
Conexoes de Mafia,"Latin pop, Rap",Matuê,2,2023,4,30,385,4,77.233.241,17,7,41,1,29,117,F#,Minor,77,69,58,39,0,26,5
MIENTRAS ME CURO DEL CORA,"Latin pop, Reggaeton",Karol G,1,2023,2,24,1020,35,206.399.629,15,26,30,6,0,80,,Major,52,57,48,86,0,15,39
Never Felt So Alone,"electroPop, soul",Labrinth,1,2023,4,7,1730,3,117.747.907,46,5,51,0,20,98,F,Major,44,36,41,50,0,38,5
X SI VOLVEMOS,Reggaeton,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266.624.541,45,80,53,8,4,178,C#,Minor,79,58,78,34,0,11,25
ceilings,"folk-Pop, Pop",Lizzy McAlpine,1,2022,4,8,3242,9,293.186.992,67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3
Cupid,"K-Pop, Dance pop",Fifty Fifty,1,2023,2,24,526,10,139.681.964,15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3
I AM,"K-Pop, Dance pop, R&B",IVE,1,2023,4,10,366,15,123.132.751,16,102,7,0,55,122,E,Minor,68,38,88,1,0,8,5
Cupid – Twin Ver. (FIFTY FIFTY),"K-Pop, Dance pop",sped up 8282,1,1997,1,1,472,2,103.762.518,0,0,6,0,0,144,F,Major,74,75,73,42,0,9,4
Shorty Party,"Latin pop, Hip hop","Cartel De Santa, La Kelly",2,2023,3,4,432,12,162.887.075,8,14,12,2,33,96,D,Major,93,47,47,33,0,10,36
Super,"K-Pop, Pop",SEVENTEEN,1,2023,4,24,271,12,91.221.625,16,103,9,0,55,137,G#,Major,77,35,88,16,0,17,9
Slut Me Out,"Hip hop, Rap",NLE Choppa,1,2022,4,22,816,4,190.490.915,21,4,13,0,4,121,F#,Minor,94,71,61,12,0,53,42
Double Fantasy (with Future),"Pop, electronic, R&B","The Weeknd, Future",2,2023,4,21,1169,0,96.180.277,36,65,28,0,0,119,A,Minor,60,10,57,1,0,50,3
All Of The Girls You Loved Before,"Pop, country Pop",Taylor Swift,1,2019,8,23,1282,6,185.240.616,26,6,19,0,5,96,D,Major,72,40,47,71,0,13,4
PROVENZA,"Latin pop, Reggaeton",Karol G,1,2022,4,21,6587,34,885.093.467,114,104,147,11,20,111,C#,Major,87,53,52,66,1,11,5
Princess Diana (with Nicki Minaj),"Hip hop, Rap","Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104.992.946,0,0,0,0,0,148,A,Major,90,74,68,14,0,10,19
Di Que Si,Latin pop,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147.290.338,4,64,4,2,37,182,A,Major,57,80,59,8,0,6,5
Shivers,Pop,Ed Sheeran,1,2021,9,9,10147,30,1.302.184.087,234,71,543,18,,141,D,Major,79,82,86,28,0,4,9
Igualito a Mi Apa,"Latin pop, corridos","Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158.950.978,8,84,5,1,4,145,E,Minor,76,80,81,19,0,6,9
Shoong! (feat. LISA of BLACKPINK),"K-Pop, Hip hop, R&B","TAEYANG, Lisa",2,2023,4,25,351,9,76.910.644,16,90,10,0,64,110,B,Minor,76,26,70,1,0,41,6
Komang,"electroPop, Pop",Raim Laode,1,2022,8,16,158,4,137.123.880,5,6,1,1,18,134,G,Major,70,35,41,41,0,10,3
DESPECHA,"Latin pop, flamenco",ROSALIA,1,2022,7,28,7613,33,782.369.383,180,90,422,15,55,130,G,Major,92,78,62,18,0,6,10
Made You Look,"Pop, R&B",Meghan Trainor,1,2022,10,21,3956,6,502.574.952,142,23,127,3,16,145,A#,Major,84,88,53,35,0,8,7
Watch This - ARIZONATEARS Pluggnb Remix,"Hip hop, trap","sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207.033.255,0,0,21,0,0,130,B,Minor,69,36,90,1,10,15,4
No Se Va,Latin pop,Grupo Frontera,1,2022,4,28,924,18,404.887.295,17,80,22,9,38,173,,Major,59,69,53,12,0,23,3
Punto G,"Latin pop, Reggaeton",Quevedo,1,2022,11,4,1985,35,381.161.027,34,26,37,5,1,92,B,Minor,75,55,76,25,0,10,15
Lovers Rock,"indie Pop, dream Pop",TV Girl,1,2014,6,5,6339,13,466.231.982,3,1,36,1,37,105,F,Minor,56,57,87,0,1,10,4
METAMORPHOSIS,"electronic, synth Pop",INTERWORLD,1,2021,11,25,1561,24,357.580.552,18,78,24,0,30,175,G,Minor,59,15,64,43,90,12,10
Mami Chula,"Latin pop, Reggaeton","Quevedo, Jhayco",2,2023,4,27,875,4,61.105.704,17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4
En Paris,"Latin pop, Reggaeton","El Chachito, Junior H",2,2022,12,24,406,5,198.275.403,3,31,2,1,0,139,D#,Minor,70,77,48,37,0,12,5
Set Me Free Pt.2,"K-Pop, R&B",Jimin,1,2023,3,17,340,13,168.448.603,4,71,16,1,9,132,,Minor,59,56,82,12,0,12,6
I Was Never There,"R&B, electronic","The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705.469.769,30,70,142,0,27,114,A#,Major,32,17,74,14,0,17,3
Don't ever say love me (feat. RM of BTS),"K-Pop, R&B","RM, Colde",2,2023,5,4,105,0,34.502.215,5,9,5,0,0,145,B,Minor,54,19,48,36,0,37,5
Shut Down,"K-Pop, Hip hop",BLACKPINK,1,2022,9,16,1524,17,482.175.240,53,120,62,0,2,110,,Major,82,67,69,0,0,18,4
Gato de Noche,"Latin pop, Reggaeton","Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304.118.600,21,55,32,3,0,94,G#,Major,89,61,66,17,0,36,16
Call Out My Name,"R&B, Pop",The Weeknd,1,2018,3,29,11087,6,1.449.799.467,151,107,801,1,105,134,C#,Major,45,17,60,21,0,33,4
Like Crazy (English Version),"K-Pop, R&B",Jimin,1,2023,3,24,373,19,173.627.354,4,72,5,0,5,120,G,Major,62,32,76,0,0,39,4
Rosa Pastel,"Latin pop, Reggaeton","Peso Pluma, Jasiel Nunez",2,2023,2,2,200,4,90.025.258,8,77,2,1,1,123,G,Minor,70,86,68,24,0,11,4
Sunroof,"Pop, R&B","Nicky Youre, Dazy",2,2021,12,3,3741,17,652.704.649,156,35,110,19,0,131,A#,Major,77,84,71,35,0,15,4
Lose Yourself - Soundtrack Version,"Hip hop, Rap",Eminem,1,2002,1,1,32502,21,1.829.992.958,247,54,5.567,1,51,171,D,Major,70,6,73,1,0,36,26
Superman,"Hip hop, Rap","Eminem, Dina Rae",2,2002,5,26,7615,14,655.466.831,18,51,1.005,0,0,130,E,Minor,80,64,76,2,0,20,6
Mas Rica Que Ayer,"Latin pop, Reggaeton","Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146.409.671,10,41,20,0,1,94,B,Major,82,53,67,34,0,9,8
People Pt.2 (feat. IU),"K-Pop, Hip hop, Pop","IU, Agust D",2,2023,4,7,209,4,95.816.024,4,45,11,2,24,89,G,Minor,73,44,57,39,0,32,6
REMIX EXCLUSIVO,"Latin pop, Reggaeton",Feid,1,2023,3,17,1235,9,117.206.995,20,8,15,0,6,87,F,Minor,65,71,56,4,0,15,20
"Arcangel: Bzrp Music Sessions, Vol. 54","Latin pop trap, Pop, Rap","Arcangel, Bizarrap",2,2023,3,22,654,3,100.409.613,11,3,18,1,1,124,B,Minor,72,79,78,55,0,15,30
DOGTOOTH,"Hip hop, Rap","Tyler, The Creator",2,2023,3,27,1479,0,80.758.350,23,0,18,0,33,78,G#,Major,71,80,65,51,0,22,32
10:35,"electronic, Dance pop",Tiesto & Tate McRae,2,2022,11,1,4942,26,325.592.432,190,104,147,18,63,120,G#,Major,70,70,79,7,0,18,10
SORRY NOT SORRY,"Hip hop, Rap","Tyler, The Creator",2,2023,3,31,709,0,58.473.276,8,1,13,0,0,96,F#,Minor,48,50,80,40,0,37,20
HAPPY,"Hip hop, Rap",NF,1,2023,3,25,660,0,52.722.996,22,7,11,0,78,106,G,Major,73,22,86,31,0,12,4
La Bebe,"Latin pop, Reggaeton",Yng Lvcas,1,2021,12,24,489,17,191.945.597,4,11,5,1,2,170,D,Minor,78,75,46,62,0,12,35
I Know - PR1SVX Edit,"electronic, dance, Hip hop, R&B","Kanii, PR1ISVX",2,2023,3,24,407,0,77.377.503,16,15,5,0,1,134,B,Minor,67,11,76,8,47,30,7
Late Night Talking,"Pop, Rock",Harry Styles,1,2022,5,20,7461,8,743.693.613,166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5
Leao ,"Latin pop, sertanejo",Marilia Mendonca,1,2022,12,9,993,4,267.789.608,30,84,88,1,28,130,F#,Major,74,79,87,45,0,30,3
Save Your Tears (with Ariana Grande) (Remix),"Pop, R&B, synth Pop","Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1.221.813.483,240,98,468,3,10,118,,Major,65,63,79,3,0,10,3
Something in the Orange,"country, folk",Zach Bryan,1,2022,4,22,3282,12,449.701.773,67,84,46,16,117,110,G,Major,59,22,38,42,0,12,3
VOID,electroPop,Melanie Martinez,1,2023,3,29,596,0,67.070.410,29,9,12,0,52,100,A,Major,72,42,66,18,4,19,4
Dijeron Que No La Iba Lograr,"Latin pop, corridos","Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116.334.601,5,48,2,1,9,142,G,Minor,70,76,79,26,0,11,7
Midnight Rain,Pop,Taylor Swift,1,2022,10,21,2612,4,433.356.509,19,29,21,0,0,140,,Major,64,18,37,72,0,12,7
If We Ever Broke Up,"Pop, R&B",Mae Stephens,1,2023,2,10,2040,4,165.584.767,81,27,66,9,444,116,G,Major,90,96,73,62,0,9,4
You Proof,country,Morgan Wallen,1,2022,5,13,2128,9,367.814.306,37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3
LA INOCENTE,"Latin pop, Reggaeton","Feid, Mora",2,2022,4,1,2598,37,477.033.549,28,57,43,8,85,92,F,Minor,76,46,79,31,0,7,6
